GO term 1	GO term 2	simRel	Lin	Res	Jiang
GO:0000139	GO:0000139	1.00	1.00	2.99	1.00
GO:0000345	GO:0000345	1.00	1.00	10.00	1.00
GO:0000306	GO:0000306	1.00	1.00	6.05	1.00
GO:0001411	GO:0001411	1.00	1.00	5.67	1.00
GO:0000215	GO:0000215	1.00	1.00	6.54	1.00
GO:0000971	GO:0000971	1.00	1.00	10.00	1.00
GO:0001616	GO:0001616	1.00	1.00	6.06	1.00
GO:0001772	GO:0001772	1.00	1.00	4.92	1.00
GO:0000027	GO:0000027	1.00	1.00	3.89	1.00
GO:0000290	GO:0000290	1.00	1.00	4.88	1.00
GO:0001790	GO:0001790	1.00	1.00	10.00	1.00
GO:0001777	GO:0001777	1.00	1.00	6.07	1.00
GO:0002767	GO:0002767	1.00	1.00	6.17	1.00
GO:0003029	GO:0003029	1.00	1.00	6.27	1.00
GO:0002886	GO:0002886	1.00	1.00	4.95	1.00
GO:0001922	GO:0001922	1.00	1.00	5.63	1.00
GO:0002603	GO:0002603	1.00	1.00	10.00	1.00
GO:0003035	GO:0003035	1.00	1.00	10.00	1.00
GO:0002782	GO:0002782	1.00	1.00	10.00	1.00
GO:0002741	GO:0002741	1.00	1.00	6.09	1.00
GO:0004026	GO:0004026	1.00	1.00	5.03	1.00
GO:0003935	GO:0003935	1.00	1.00	3.88	1.00
GO:0004616	GO:0004616	1.00	1.00	3.48	1.00
GO:0003304	GO:0003304	1.00	1.00	10.00	1.00
GO:0004489	GO:0004489	1.00	1.00	3.96	1.00
GO:0003155	GO:0003155	1.00	1.00	10.00	1.00
GO:0004796	GO:0004796	1.00	1.00	6.11	1.00
GO:0004157	GO:0004157	1.00	1.00	4.94	1.00
GO:0004914	GO:0004914	1.00	1.00	7.24	1.00
GO:0004085	GO:0004085	1.00	1.00	4.67	1.00
GO:0005010	GO:0005010	1.00	1.00	6.05	1.00
GO:0005024	GO:0005024	1.00	1.00	4.53	1.00
GO:0005666	GO:0005666	1.00	1.00	4.56	1.00
GO:0005764	GO:0005764	1.00	1.00	3.43	1.00
GO:0005537	GO:0005537	1.00	1.00	4.98	1.00
GO:0005765	GO:0005765	1.00	1.00	4.17	1.00
GO:0006051	GO:0006051	1.00	1.00	3.99	1.00
GO:0006106	GO:0006106	1.00	1.00	3.74	1.00
GO:0005819	GO:0005819	1.00	1.00	3.40	1.00
GO:0006004	GO:0006004	1.00	1.00	3.62	1.00
GO:0006172	GO:0006172	1.00	1.00	5.97	1.00
